trajectory,T (ms),volume_1 (mm),volume_2 (mm),volume_3 (mm),k,pressure_1 (bar),pressure_2 (bar),pressure_3 (bar),base_x (cm),base_y (cm),base_z (cm),tip_x (cm),tip_y (cm),tip_z (cm),tip_velocity_x (cm/s),tip_velocity_y (cm/s),tip_velocity_z (cm/s),tip_acceleration_x (cm/ss),tip_acceleration_y (cm/ss),tip_acceleration_z (cm/ss),timestamp
5,1659.3310832977295,117.23985156249994,118.56094921874994,118.73210156249996,472,1.7579095894574912,6.560098437802253e-06,6.854174573772033,5.1533833,1.7588943,-7.1149287,1.7185736,-1.4929174,0.065433614,-0.7192121,-1.1794733,0.63254905,16.292421,24.570936,-11.471759,1753149350.5221655
5,1680.171251296997,117.23985156249994,118.56094921874994,118.73210156249996,473,1.753973530370002,0.0026305994900965,6.846302455597055,5.1533833,1.7588943,-7.1149287,1.7183067,-1.4936934,0.06508245,-0.58817834,-0.9808124,0.48918885,14.29145,21.563269,-10.553214,1753149350.5430057
5,1701.528787612915,117.23985156249994,118.56094921874994,118.73210156249996,474,1.7579095894574912,0.0026305994900965,6.841054376813736,5.1533833,1.7588943,-7.1149287,1.7180932,-1.4943142,0.06480152,-0.48054156,-0.8137156,0.37819725,12.441111,18.815372,-9.481938,1753149350.5643632
5,1722.7563858032227,117.23985156249994,118.56094921874994,118.73210156249996,475,1.7565975697616616,6.560098437802253e-06,6.831870238942927,5.1533833,1.7588943,-7.1149287,1.7188505,-1.4937148,0.06533409,-0.34875512,-0.62273306,0.32764617,11.19454,16.851679,-8.061828,1753149350.5855908
5,1743.967056274414,117.23985156249994,118.56094921874994,118.73210156249996,476,1.7526615106741723,0.0026305994900965,6.821374081376289,5.1533833,1.7588943,-7.1149287,1.7199876,-1.4935235,0.06586371,-0.22539927,-0.4891637,0.28708652,10.118781,14.740798,-6.831908,1753149350.6068015
5,1764.9149894714355,117.23985156249994,118.56094921874994,118.73210156249996,477,1.7565975697616616,0.0026305994900965,6.82006206168046,5.1533833,1.7588943,-7.1149287,1.7208972,-1.4933704,0.06628741,-0.13689905,-0.38402176,0.2498954,8.93998,12.796479,-5.820608,1753149350.6277494
5,1786.020278930664,117.23985156249994,118.56094921874994,118.73210156249996,478,1.7513494909783425,0.0013185797942689,6.812189943505481,5.1533833,1.7588943,-7.1149287,1.7211384,-1.4932289,0.065855704,-0.098096095,-0.30051512,0.17946137,7.519692,11.028518,-5.3239403,1753149350.6488547
5,1807.7948093414307,117.23985156249994,118.56094921874994,118.73210156249996,479,1.7552855500658318,0.0013185797942689,6.803005805634673,5.1533833,1.7588943,-7.1149287,1.722485,-1.4925066,0.06557919,-0.016633432,-0.20723644,0.1308703,6.763992,9.679583,-4.7054634,1753149350.6706293
5,1828.831434249878,117.23985156249994,118.56094921874994,118.73210156249996,480,1.7565975697616616,6.560098437802253e-06,6.800381766243014,5.1533833,1.7588943,-7.1149287,1.7235622,-1.4919288,0.06535798,0.037903093,-0.13831706,0.094180994,5.929679,8.398891,-4.11318,1753149350.691666
5,1850.1756191253662,117.23985156249994,118.56094921874994,118.73210156249996,481,1.7513494909783425,6.560098437802253e-06,6.789885608676375,5.1533833,1.7588943,-7.1149287,1.7244314,-1.4912602,0.06515298,0.0710405,-0.07932316,0.06574,5.054252,7.2719064,-3.557046,1753149350.71301
5,1871.1626529693604,117.23985156249994,118.56094921874994,118.73210156249996,482,1.7513494909783425,0.0026305994900965,6.788573588980546,5.1533833,1.7588943,-7.1149287,1.7251266,-1.4907253,0.06498898,0.08996011,-0.03796719,0.044777475,4.2236996,6.211635,-3.0454032,1753149350.733997
6,0.0,117.23985156249994,118.56094921874994,118.73210156249996,483,1.7198610182784284,6.560098437802253e-06,6.352983049965069,5.1533833,1.7588943,-7.1149287,1.7408972,-1.4791019,0.059013277,0.0741365,-0.028775554,0.035000335,3.3785245,4.969561,-2.4365916,1753149358.006831
6,21.382570266723633,117.23985156249994,118.56094921874994,118.73210156249996,484,1.7198610182784284,0.0013185797942689,6.352983049965069,5.1533833,1.7588943,-7.1149287,1.7537881,-1.4696182,0.05464642,0.66217923,0.42050526,-0.1762248,8.203026,8.177958,-3.9249492,1753149358.0282135
6,42.23370552062988,117.23985156249994,118.56094921874994,118.73210156249996,485,1.717236978886769,0.0026305994900965,6.351671030269239,5.1533833,1.7588943,-7.1149287,1.7641009,-1.4620312,0.051152937,1.0243316,0.7002683,-0.30852398,10.036116,9.225799,-4.408947,1753149358.0490646
6,63.591957092285156,117.23985156249994,118.56094921874994,118.73210156249996,486,1.7185489985825988,6.560098437802253e-06,6.351671030269239,5.1533833,1.7588943,-7.1149287,1.7723614,-1.45579,0.048160452,1.2062228,0.85243535,-0.3869283,9.732133,8.80554,-4.26134,1753149358.070423
6,84.93971824645996,117.23985156249994,118.56094921874994,118.73210156249996,487,1.7198610182784284,6.560098437802253e-06,6.347734971181749,5.1533833,1.7588943,-7.1149287,1.7790855,-1.4506409,0.045963876,1.2799594,0.9231538,-0.41243762,8.476521,7.7069697,-3.6480606,1753149358.0917706
6,106.07194900512695,117.23985156249994,118.56094921874994,118.73210156249996,488,1.7198610182784284,-0.0013054595973898,6.352983049965069,5.1533833,1.7588943,-7.1149287,1.7844648,-1.4465216,0.04420661,1.2785228,0.93345624,-0.41310567,6.7676206,6.26308,-2.924771,1753149358.1129029
6,127.03251838684082,117.23985156249994,118.56094921874994,118.73210156249996,489,1.722485057670088,-0.0026174792932209,6.350359010573409,5.1533833,1.7588943,-7.1149287,1.7887851,-1.4435058,0.042826265,1.2289311,0.89065063,-0.396339,4.940905,4.602025,-2.179834,1753149358.1338634
6,148.33807945251465,117.23985156249994,118.56094921874994,118.73210156249996,490,1.7198610182784284,0.0026305994900965,6.351671030269239,5.1533833,1.7588943,-7.1149287,1.7922413,-1.441093,0.04172199,1.1453649,0.82576555,-0.36890167,3.1682699,3.0725296,-1.4863069,1753149358.155169
6,169.68059539794922,117.23985156249994,118.56094921874994,118.73210156249996,491,1.7198610182784284,0.0013185797942689,6.347734971181749,5.1533833,1.7588943,-7.1149287,1.7950286,-1.4392202,0.04063515,1.0468884,0.7483612,-0.34604508,1.6117957,1.7326698,-0.9748572,1753149358.1765115
