volume_1,volume_2,volume_3
3.748742113,2.300908739,2.327737267
3.861303696,2.313343701,2.492377635
3.960637126,2.332632018,2.658133828
4.04207052,2.356732365,2.819697089
4.101848973,2.383920378,2.972475081
4.137573559,2.413138062,3.112962109
4.148362157,2.444130872,3.238859608
4.13472351,2.477349898,3.348955889
4.098229899,2.513679923,3.44284577
4.04112933,2.554106771,3.520607842
3.966034549,2.599441157,3.582549076
3.875768003,2.650173864,3.62908013
3.773356673,2.70647082,3.660721007
3.662098374,2.768257635,3.678183079
3.545594126,2.835316694,3.682450837
3.42766724,2.907332477,3.674799694
3.312149382,2.983858916,3.656722253
3.202573891,3.064223444,3.629774284
3.101851174,3.147408031,3.595377905
3.01200319,3.231952831,3.554628621
2.934012903,3.315917813,3.508148855
2.867813934,3.396920286,3.45601884
2.812415627,3.472247717,3.397799807
2.766134615,3.539029487,3.33264656
2.726888815,3.594441037,3.259489816
2.692505484,3.635911064,3.177257184
2.661001568,3.661307214,3.085098398
2.630808942,3.669085811,2.982585475
2.600933735,3.658402221,2.869868889
2.571051569,3.629185523,2.747781427
2.541544852,3.582180728,2.617887518
2.513483943,3.518953827,2.482475527
2.488545856,3.441844282,2.344486481
2.468860601,3.353844311,2.207371426
2.456783461,3.258391789,2.074877066
2.454611716,3.15908458,1.950776542
2.464288315,3.059351424,1.838582842
2.487150154,2.962136011,1.74129626
2.882041906,3.330920842,1.935251034
2.928128986,3.246192238,1.863765811
2.987296144,3.168622959,1.809804521
3.058590969,3.098262159,1.773783431
3.140682411,3.034595121,1.755724781
3.232112847,2.976811981,1.755477419
3.331543162,2.924116331,1.772932391
3.437933421,2.876010708,1.808176447
3.550608909,2.832493483,1.861532187
3.669182828,2.794115494,1.933455031
3.793339964,2.761874524,2.024292384
3.922522532,2.73696528,2.133951105
4.055590109,2.720441542,2.261553006
4.190541432,2.712874844,2.405172592
4.324381542,2.714101742,2.561739718
4.453191947,2.723135064,2.727153652
4.572416898,2.738274801,2.896603175
4.677324376,2.757400271,3.065034004
4.763550699,2.778372612,3.227665836
4.827610309,2.799443757,3.380449014
4.86725874,2.819567247,3.520369293
4.88163632,2.838537508,3.645551688
4.87117953,2.8569356,3.755166744
4.837347281,2.875913263,3.84918909
4.782253553,2.896887449,3.928087436
4.70831403,2.92123431,3.992531837
4.617998358,2.950061181,4.043187717
4.513735562,2.98410162,4.080631977
4.397962229,3.023733557,4.105384787
4.273252066,3.069080449,4.118015057
4.142440881,3.120134632,4.119260152
4.008671053,3.176846531,4.110105551
3.875317071,3.239147463,4.091792563
3.745799965,3.306904238,4.065750206
3.623334214,3.379827563,4.033469533
3.51066497,3.457366688,3.996349399
3.409847738,3.538620702,3.955543245
3.322105554,3.622287938,3.911831636
3.247779623,3.706664299,3.865538995
3.186373164,3.789691879,3.816506469
3.136675687,3.869051412,3.764125389
3.096945679,3.942286003,3.707427023
3.065124192,4.006939734,3.645215758
3.039051043,4.06069431,3.57622665
3.016659907,4.101490158,3.49928657
2.996137298,4.127624683,3.413461269
2.976040895,4.137827785,3.318177334
2.955381841,4.131320869,3.213315689
2.933680427,4.107867793,3.099278936
2.9110032,4.067822894,2.977035945
2.887982093,4.012172516,2.848143085
2.865805804,3.942555308,2.714734292
2.846165943,3.861238316,2.579466471
2.831141106,3.771025979,2.445407266
2.823013626,3.675090434,2.315861733
2.824033395,3.576731363,2.194150608
2.836162953,3.479095158,2.083369764
2.8608496,3.384898243,1.986170847
3.32571987,3.792364413,2.220014035
3.377239688,3.714285921,2.151280166
3.44193093,3.644244251,2.098988344
3.518939525,3.582153118,2.063341039
3.606957935,3.527292061,2.044098134
3.704442751,3.478523889,2.040774556
